# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
389		1843		257887		1687
390		1843		258351		1687
391		1843		258815		1687
392		1843		259279		1687
393		1843		259743		1687
394		1843		260207		1687
395		1843		260671		1687
396		1842		261134		1687
397		1842		261596		1687
398		1842		262058		1687
399		1842		262520		1687
400		1842		262982		1687
401		1842		263444		1687
402		1842		263906		1687
403		1842		264368		1687
404		1842		264830		1687
405		2004		265537		1711
406		1998		266275		1713
407		1996		267013		1711
408		2003		267750		1712
409		1995		268491		1719
410		1987		269219		1717
411		1978		269932		1717
412		1977		270642		1715
413		1969		271344		1716
414		1965		272034		1716
415		1964		272725		1716
416		1962		273414		1715
417		1963		274106		1716
418		1958		274796		1715
419		1957		275477		1715
420		1955		276154		1715
421		1952		276832		1717
422		1952		277505		1714
423		1951		278177		1716
424		1950		278845		1719
425		1945		279508		1715
426		1945		280171		1716
427		1945		280834		1715
428		1944		281498		1716
429		1941		282160		1717
430		1941		282822		1717
431		1940		283481		1717
432		1938		284137		1717
433		1937		284792		1717
434		1935		285448		1715
435		1934		286097		1717
436		1934		286745		1717
437		1934		287393		1717
438		1934		288042		1715
439		1932		288691		1718
440		1931		289340		1718
441		1931		289984		1718
442		1929		290631		1719
443		1927		291273		1720
444		1927		291914		1719
445		1925		292551		1720
446		1924		293188		1721
447		1923		293821		1722
448		1923		294453		1722
